0610007P14Rik	ORF11|RIKEN cDNA 0610007P14 gene
1700008O03Rik	RIKEN cDNA 1700008O03 gene
1700008P02Rik	RIKEN cDNA 1700008P02 gene
1700009N14Rik	RIKEN cDNA 1700009N14 gene
1700010B08Rik	RIKEN cDNA 1700010B08 gene
1700010I14Rik	RIKEN cDNA 1700010I14 gene
1700011A15Rik	RIKEN cDNA 1700011A15 gene
1700011E24Rik	RIKEN cDNA 1700011E24 gene
1700011H14Rik	RIKEN cDNA 1700011H14 gene
1700011I03Rik	RIKEN cDNA 1700011I03 gene
1700011L22Rik	RIKEN cDNA 1700011L22 gene
1700011M02Rik	RIKEN cDNA 1700011M02 gene
1700012B07Rik	RIKEN cDNA 1700012B07 gene
1700012B09Rik	RIKEN cDNA 1700012B09 gene
1700012L04Rik	H2AL1|RIKEN cDNA 1700012L04 gene
1700012P22Rik	RIKEN cDNA 1700012P22 gene
1700013D24Rik	RIKEN cDNA 1700013D24 gene
1700013F07Rik	RIKEN cDNA 1700013F07 gene
1700013G24Rik	RIKEN cDNA 1700013G24 gene
1700013H16Rik	Slx2|Xlr6|RIKEN cDNA 1700013H16 gene
1700014D04Rik	RIKEN cDNA 1700014D04 gene
1700015E13Rik	RIKEN cDNA 1700015E13 gene
1700015F17Rik	LOC381716|RIKEN cDNA 1700015F17 gene
1700015G11Rik	RIKEN cDNA 1700015G11 gene
1700016C15Rik	RIKEN cDNA 1700016C15 gene
1700016D06Rik	GC14|RIKEN cDNA 1700016D06 gene
1700016H13Rik	RIKEN cDNA 1700016H13 gene
1700016K19Rik	RIKEN cDNA 1700016K19 gene
1700017B05Rik	D9Ertd278e|RIKEN cDNA 1700017B05 gene
1700017D01Rik	RIKEN cDNA 1700017D01 gene
1700017N19Rik	RIKEN cDNA 1700017N19 gene
1700018B08Rik	RIKEN cDNA 1700018B08 gene
1700018C11Rik	RIKEN cDNA 1700018C11 gene
1700018F24Rik	RIKEN cDNA 1700018F24 gene
1700019A02Rik	RIKEN cDNA 1700019A02 gene
1700019B03Rik	RIKEN cDNA 1700019B03 gene
1700019D03Rik	RIKEN cDNA 1700019D03 gene
1700019G17Rik	RIKEN cDNA 1700019G17 gene
1700019L03Rik	RIKEN cDNA 1700019L03 gene
1700019N19Rik	RIKEN cDNA 1700019N19 gene
1700019O17Rik	RIKEN cDNA 1700019O17 gene
1700020A23Rik	RIKEN cDNA 1700020A23 gene
1700020D05Rik	RIKEN cDNA 1700020D05 gene
1700020L24Rik	RIKEN cDNA 1700020L24 gene
1700020N01Rik	RIKEN cDNA 1700020N01 gene
1700020N15Rik	RIKEN cDNA 1700020N15 gene
1700021F05Rik	RIKEN cDNA 1700021F05 gene
1700021F07Rik	RIKEN cDNA 1700021F07 gene
1700021K19Rik	RIKEN cDNA 1700021K19 gene
1700022I11Rik	RIKEN cDNA 1700022I11 gene
1700023F06Rik	RIKEN cDNA 1700023F06 gene
1700024B05Rik	RIKEN cDNA 1700024B05 gene
1700024G13Rik	RIKEN cDNA 1700024G13 gene
1700024P04Rik	H2BL1|RIKEN cDNA 1700024P04 gene
1700024P16Rik	RIKEN cDNA 1700024P16 gene
1700025B11Rik	RIKEN cDNA 1700025B11 gene
1700025C18Rik	RIKEN cDNA 1700025C18 gene
1700025F22Rik	RIKEN cDNA 1700025F22 gene
1700025G04Rik	RIKEN cDNA 1700025G04 gene
1700026D08Rik	RIKEN cDNA 1700026D08 gene
1700026L06Rik	RIKEN cDNA 1700026L06 gene
1700028K03Rik	RIKEN cDNA 1700028K03 gene
1700028P14Rik	RIKEN cDNA 1700028P14 gene
1700029F12Rik	RIKEN cDNA 1700029F12 gene
1700029H14Rik	RIKEN cDNA 1700029H14 gene
1700029I15Rik	RIKEN cDNA 1700029I15 gene
1700029J07Rik	RIKEN cDNA 1700029J07 gene
1700029P11Rik	RIKEN cDNA 1700029P11 gene
1700030J22Rik	RIKEN cDNA 1700030J22 gene
1700030K09Rik	RIKEN cDNA 1700030K09 gene
1700031F05Rik	RIKEN cDNA 1700031F05 gene
1700031M16Rik	RIKEN cDNA 1700031M16 gene
1700034E13Rik	RIKEN cDNA 1700034E13 gene
1700034I23Rik	RIKEN cDNA 1700034I23 gene
1700034J05Rik	RIKEN cDNA 1700034J05 gene
1700034O15Rik	RIKEN cDNA 1700034O15 gene
1700037C18Rik	RIKEN cDNA 1700037C18 gene
1700037H04Rik	RIKEN cDNA 1700037H04 gene
1700039E15Rik	RIKEN cDNA 1700039E15 gene
1700040F15Rik	Gm21563|RIKEN cDNA 1700040F15 gene
1700040L02Rik	RIKEN cDNA 1700040L02 gene
1700042G07Rik	RIKEN cDNA 1700042G07 gene
1700047I17Rik2	RIKEN cDNA 1700047I17 gene 2
1700049E17Rik1	666214|RIKEN cDNA 1700049E17 gene, gene 1
1700049E17Rik2	100041722|tandem duplication of RIKEN cDNA 1700049E17 gene, gene 2
1700049G17Rik	RIKEN cDNA 1700049G17 gene
1700057G04Rik	RIKEN cDNA 1700057G04 gene
1700061G19Rik	RIKEN cDNA 1700061G19 gene
1700063H04Rik	RIKEN cDNA 1700063H04 gene
1700064H15Rik	RIKEN cDNA 1700064H15 gene
1700066B19Rik	RIKEN cDNA 1700066B19 gene
1700066M21Rik	RIKEN cDNA 1700066M21 gene
1700067K01Rik	RIKEN cDNA 1700067K01 gene
1700067P10Rik	RIKEN cDNA 1700067P10 gene
1700069L16Rik	RIKEN cDNA 1700069L16 gene
1700074P13Rik	RIKEN cDNA 1700074P13 gene
1700080E11Rik	RIKEN cDNA 1700080E11 gene
1700080O16Rik	RIKEN cDNA 1700080O16 gene
1700084C01Rik	RIKEN cDNA 1700084C01 gene
1700084M14Rik	RIKEN cDNA 1700084M14 gene
1700086D15Rik	RIKEN cDNA 1700086D15 gene
1700088E04Rik	Mus EST J0827E04|RIKEN cDNA 1700088E04 gene
1700092M07Rik	RIKEN cDNA 1700092M07 gene
1700093K21Rik	RIKEN cDNA 1700093K21 gene
1700094D03Rik	RIKEN cDNA 1700094D03 gene
1700101E01Rik	LOC329375|RIKEN cDNA 1700101E01 gene
1700102P08Rik	RIKEN cDNA 1700102P08 gene
1700109H08Rik	RIKEN cDNA 1700109H08 gene
1700112E06Rik	Oca7|RIKEN cDNA 1700112E06 gene
1700113H08Rik	RIKEN cDNA 1700113H08 gene
1700122O11Rik	RIKEN cDNA 1700122O11 gene
1700123I01Rik	RIKEN cDNA 1700123I01 gene
1700123K08Rik	RIKEN cDNA 1700123K08 gene
1700123L14Rik	RIKEN cDNA 1700123L14 gene
1700123O20Rik	RIKEN cDNA 1700123O20 gene
1700125H20Rik	RIKEN cDNA 1700125H20 gene
1700129C05Rik	RIKEN cDNA 1700129C05 gene
1810009A15Rik	RIKEN cDNA 1810009A15 gene
1810009J06Rik	RIKEN cDNA 1810009J06 gene
1810011H11Rik	RIKEN cDNA 1810011H11 gene
1810011O10Rik	RIKEN cDNA 1810011O10 gene
1810013L24Rik	RIKEN cDNA 1810013L24 gene
1810022K09Rik	RIKEN cDNA 1810022K09 gene
1810024B03Rik	RIKEN cDNA 1810024B03 gene
1810026J23Rik	RIKEN cDNA 1810026J23 gene
1810030O07Rik	RIKEN cDNA 1810030O07 gene
1810032O08Rik	RIKEN cDNA 1810032O08 gene
1810037I17Rik	RIKEN cDNA 1810037I17 gene
1810041L15Rik	RIKEN cDNA 1810041L15 gene
1810043G02Rik	D10Jhu13e|RIKEN cDNA 1810043G02 gene
1810043H04Rik	RIKEN cDNA 1810043H04 gene
1810046K07Rik	RIKEN cDNA 1810046K07 gene
1810055G02Rik	RIKEN cDNA 1810055G02 gene
1810062G17Rik	RIKEN cDNA 1810062G17 gene
1810065E05Rik	RIKEN cDNA 1810065E05 gene
2010001E11Rik	RIKEN cDNA 2010001E11 gene
2010003K11Rik	RIKEN cDNA 2010003K11 gene
2010005H15Rik	RIKEN cDNA 2010005H15 gene
2010106E10Rik	RIKEN cDNA 2010106E10 gene
2010107E04Rik	RIKEN cDNA 2010107E04 gene
2010107G12Rik	LOC243753|RIKEN cDNA 2010107G12 gene
2010107G23Rik	RIKEN cDNA 2010107G23 gene
2010109A12Rik	RIKEN cDNA 2010109A12 gene
2010109I03Rik	RIKEN cDNA 2010109I03 gene
2010111I01Rik	ApO|aminopeptidase O|RIKEN cDNA 2010111I01 gene
2010300C02Rik	RIKEN cDNA 2010300C02 gene
2010315B03Rik	RIKEN cDNA 2010315B03 gene
2200002D01Rik	H2RSP|HAI-2 related small protein|RIKEN cDNA 2200002D01 gene
2200002J24Rik	RIKEN cDNA 2200002J24 gene
2210008N01Rik	RIKEN cDNA 2210008N01 gene
2210010C04Rik	RIKEN cDNA 2210010C04 gene
2210011C24Rik	RIKEN cDNA 2210011C24 gene
2210016F16Rik	RIKEN cDNA 2210016F16 gene
2210016L21Rik	RIKEN cDNA 2210016L21 gene
2210018M11Rik	Emsy|RIKEN cDNA 2210018M11 gene
2210404O09Rik	RIKEN cDNA 2210404O09 gene
2210407C18Rik	RIKEN cDNA 2210407C18 gene
2210408I21Rik	RIKEN cDNA 2210408I21 gene
2210418O10Rik	OTTMUSG00000016535|RIKEN cDNA 2210418O10 gene
2300002M23Rik	emprin|RIKEN cDNA 2300002M23 gene
2300003K06Rik	RIKEN cDNA 2300003K06 gene
2300005B03Rik	RIKEN cDNA 2300005B03 gene
2300009A05Rik	RIKEN cDNA 2300009A05 gene
2310002L09Rik	RIKEN cDNA 2310002L09 gene
2310003L06Rik	RIKEN cDNA 2310003L06 gene
2310007B03Rik	RIKEN cDNA 2310007B03 gene
2310009B15Rik	RIKEN cDNA 2310009B15 gene
2310011J03Rik	RIKEN cDNA 2310011J03 gene
2310016G11Rik	RIKEN cDNA 2310016G11 gene
2310022A10Rik	RIKEN cDNA 2310022A10 gene
2310022B05Rik	RIKEN cDNA 2310022B05 gene
2310030G06Rik	RIKEN cDNA 2310030G06 gene
2310033P09Rik	RIKEN cDNA 2310033P09 gene
2310034C09Rik	RIKEN cDNA 2310034C09 gene
2310035C23Rik	RIKEN cDNA 2310035C23 gene
2310036O22Rik	RIKEN cDNA 2310036O22 gene
2310039H08Rik	RIKEN cDNA 2310039H08 gene
2310050C09Rik	RIKEN cDNA 2310050C09 gene
2310057J18Rik	RIKEN cDNA 2310057J18 gene
2310057M21Rik	RIKEN cDNA 2310057M21 gene
2310057N15Rik	RIKEN cDNA 2310057N15 gene
2310061I04Rik	RIKEN cDNA 2310061I04 gene
2310061N02Rik	RIKEN cDNA 2310061N02 gene
2310067B10Rik	RIKEN cDNA 2310067B10 gene
2310079G19Rik	RIKEN cDNA 2310079G19 gene
2410002F23Rik	RIKEN cDNA 2410002F23 gene
2410004B18Rik	RIKEN cDNA 2410004B18 gene
2410004P03Rik	RIKEN cDNA 2410004P03 gene
2410015M20Rik	QIL1|RIKEN cDNA 2410015M20 gene
2410016O06Rik	NO66|RIKEN cDNA 2410016O06 gene
2410089E03Rik	Jbts17|Hug|b2b012Clo|RIKEN cDNA 2410089E03 gene
2410131K14Rik	RIKEN cDNA 2410131K14 gene
2410137M14Rik	RIKEN cDNA 2410137M14 gene
2410141K09Rik	Gt(Ayu21)35Imeg|Gt(pU21)35Imeg|RIKEN cDNA 2410141K09 gene
2510002D24Rik	RIKEN cDNA 2510002D24 gene
2510009E07Rik	RIKEN cDNA 2510009E07 gene
2510039O18Rik	RIKEN cDNA 2510039O18 gene
2610001J05Rik	C79299|RIKEN cDNA 2610001J05 gene
2610002M06Rik	RIKEN cDNA 2610002M06 gene
2610008E11Rik	RIKEN cDNA 2610008E11 gene
2610015P09Rik	RIKEN cDNA 2610015P09 gene
2610020H08Rik	RIKEN cDNA 2610020H08 gene
2610021A01Rik	RIKEN cDNA 2610021A01 gene
2610028H24Rik	ORF67|RIKEN cDNA 2610028H24 gene
2610042L04Rik	Tksn|takusan|RIKEN cDNA 2610042L04 gene
2610044O15Rik8	RIKEN cDNA 2610044O15 gene
2610301B20Rik	RIKEN cDNA 2610301B20 gene
2610305D13Rik	RIKEN cDNA 2610305D13 gene
2610318N02Rik	RIKEN cDNA 2610318N02 gene
2610507B11Rik	D11Bhm179e|D11Bhm178e|E1|RIKEN cDNA 2610507B11 gene
2610524H06Rik	RIKEN cDNA 2610524H06 gene
2610528A11Rik	RIKEN cDNA 2610528A11 gene
2610528J11Rik	RIKEN cDNA 2610528J11 gene
2700029M09Rik	RIKEN cDNA 2700029M09 gene
2700049A03Rik	talpid3|RIKEN cDNA 2700049A03 gene
2700060E02Rik	RIKEN cDNA 2700060E02 gene
2700062C07Rik	RIKEN cDNA 2700062C07 gene
2700073G19Rik	neural regeneration protein|Npr|RIKEN cDNA 2700073G19 gene
2700081O15Rik	RIKEN cDNA 2700081O15 gene
2700094K13Rik	SelH|RIKEN cDNA 2700094K13 gene
2700097O09Rik	RIKEN cDNA 2700097O09 gene
2810004N23Rik	GtAyu21-55|Ayu21-55|Gt(Ayu21)55Imeg|RIKEN cDNA 2810004N23 gene
2810006K23Rik	RIKEN cDNA 2810006K23 gene
2810021J22Rik	RIKEN cDNA 2810021J22 gene
2810403A07Rik	RIKEN cDNA 2810403A07 gene
2810408A11Rik	RIKEN cDNA 2810408A11 gene
2810416G20Rik	RIKEN cDNA 2810416G20 gene
2810417H13Rik	p15(PAF)|RIKEN cDNA 2810417H13 gene
2810428I15Rik	RIKEN cDNA 2810428I15 gene
2810459M11Rik	RIKEN cDNA 2810459M11 gene
2810474O19Rik	GET|RIKEN cDNA 2810474O19 gene
2900011O08Rik	MINP|RIKEN cDNA 2900011O08 gene
2900026A02Rik	LOC231620|Gm449|RIKEN cDNA 2900026A02 gene
2900092C05Rik	RIKEN cDNA 2900092C05 gene
3010026O09Rik	RIKEN cDNA 3010026O09 gene
3110001I22Rik	RIKEN cDNA 3110001I22 gene
3110002H16Rik	RIKEN cDNA 3110002H16 gene
3110009E18Rik	RIKEN cDNA 3110009E18 gene
3110021N24Rik	RIKEN cDNA 3110021N24 gene
3110035E14Rik	R75066|RIKEN cDNA 3110035E14 gene
3110040M04Rik	RIKEN cDNA 3110040M04 gene
3110040N11Rik	RIKEN cDNA 3110040N11 gene
3110043O21Rik	C9orf72|RIKEN cDNA 3110043O21 gene
3110052M02Rik	RIKEN cDNA 3110052M02 gene
3110057O12Rik	RIKEN cDNA 3110057O12 gene
3110062M04Rik	RIKEN cDNA 3110062M04 gene
3110079O15Rik	Snorc|RIKEN cDNA 3110079O15 gene
3110082I17Rik	RIKEN cDNA 3110082I17 gene
3110082J24Rik	RIKEN cDNA 3110082J24 gene
3300002I08Rik	RIKEN cDNA 3300002I08 gene
3425401B19Rik	RIKEN cDNA 3425401B19 gene
3632451O06Rik	RIKEN cDNA 3632451O06 gene
3830403N18Rik	RIKEN cDNA 3830403N18 gene
3830406C13Rik	RIKEN cDNA 3830406C13 gene
3830417A13Rik	RIKEN cDNA 3830417A13 gene
4430402I18Rik	RIKEN cDNA 4430402I18 gene
4632428N05Rik	Dies1|PD-1H|VISTA|RIKEN cDNA 4632428N05 gene
4732456N10Rik	RIKEN cDNA 4732456N10 gene
4833420G17Rik	RIKEN cDNA 4833420G17 gene
4833423E24Rik	RIKEN cDNA 4833423E24 gene
4833427G06Rik	RIKEN cDNA 4833427G06 gene
4833439L19Rik	RIKEN cDNA 4833439L19 gene
4921501E09Rik	RIKEN cDNA 4921501E09 gene
4921504E06Rik	RIKEN cDNA 4921504E06 gene
4921506M07Rik	RIKEN cDNA 4921506M07 gene
4921507P07Rik	RIKEN cDNA 4921507P07 gene
4921509C19Rik	LOC381389|RIKEN cDNA 4921509C19 gene
4921511C20Rik	LOC245598|RIKEN cDNA 4921511C20 gene
4921511H03Rik	RIKEN cDNA 4921511H03 gene
4921511M17Rik	RIKEN cDNA 4921511M17 gene
4921513D11Rik	RIKEN cDNA 4921513D11 gene
4921517D22Rik	RIKEN cDNA 4921517D22 gene
4921522P10Rik	RIKEN cDNA 4921522P10 gene
4921524J17Rik	RIKEN cDNA 4921524J17 gene
4921524L21Rik	RIKEN cDNA 4921524L21 gene
4921528I07Rik	RIKEN cDNA 4921528I07 gene
4921530L21Rik	RIKEN cDNA 4921530L21 gene
4921536K21Rik	RIKEN cDNA 4921536K21 gene
4921539E11Rik	RIKEN cDNA 4921539E11 gene
4922502D21Rik	LOC381816|RIKEN cDNA 4922502D21 gene
4930402F06Rik	RIKEN cDNA 4930402F06 gene
4930402H24Rik	RIKEN cDNA 4930402H24 gene
4930402K13Rik	RIKEN cDNA 4930402K13 gene
4930404H24Rik	RIKEN cDNA 4930404H24 gene
4930404N11Rik	RIKEN cDNA 4930404N11 gene
4930407I10Rik	LOC328573|RIKEN cDNA 4930407I10 gene
4930408O17Rik	RIKEN cDNA 4930408O17 gene
4930412O13Rik	Gm10853|RIKEN cDNA 4930412O13 gene
4930415F15Rik	RIKEN cDNA 4930415F15 gene
4930415L06Rik	RIKEN cDNA 4930415L06 gene
4930415O20Rik	RIKEN cDNA 4930415O20 gene
4930427A07Rik	RIKEN cDNA 4930427A07 gene
4930430A15Rik	RIKEN cDNA 4930430A15 gene
4930430F08Rik	RIKEN cDNA 4930430F08 gene
4930432K21Rik	RIKEN cDNA 4930432K21 gene
4930432M17Rik	RIKEN cDNA 4930432M17 gene
4930433I11Rik	LOC243944|RIKEN cDNA 4930433I11 gene
4930435E12Rik	RIKEN cDNA 4930435E12 gene
4930438A08Rik	RIKEN cDNA 4930438A08 gene
4930444G20Rik	RIKEN cDNA 4930444G20 gene
4930444P10Rik	RIKEN cDNA 4930444P10 gene
4930447A16Rik	RIKEN cDNA 4930447A16 gene
4930447C04Rik	Six6as|Six6os1|RIKEN cDNA 4930447C04 gene
4930447F04Rik	RIKEN cDNA 4930447F04 gene
4930449A18Rik	RIKEN cDNA 4930449A18 gene
4930449I24Rik	RIKEN cDNA 4930449I24 gene
4930451G09Rik	RIKEN cDNA 4930451G09 gene
4930451I11Rik	RIKEN cDNA 4930451I11 gene
4930452B06Rik	RIKEN cDNA 4930452B06 gene
4930453N24Rik	din|RIKEN cDNA 4930453N24 gene
4930455H04Rik	RIKEN cDNA 4930455H04 gene
4930467E23Rik	OTTMUSG00000018948|ENSMUSG00000074453|TSAP|RIKEN cDNA 4930467E23 gene
4930470P17Rik	RIKEN cDNA 4930470P17 gene
4930474N05Rik	RIKEN cDNA 4930474N05 gene
4930480E11Rik	RIKEN cDNA 4930480E11 gene
4930486L24Rik	RIKEN cDNA 4930486L24 gene
4930502E18Rik	Ct55|RIKEN cDNA 4930502E18 gene
4930503B20Rik	RIKEN cDNA 4930503B20 gene
4930503E14Rik	RIKEN cDNA 4930503E14 gene
4930503L19Rik	Las2|RIKEN cDNA 4930503L19 gene
4930504O13Rik	RIKEN cDNA 4930504O13 gene
4930505A04Rik	RIKEN cDNA 4930505A04 gene
4930512M02Rik	RIKEN cDNA 4930512M02 gene
4930513O06Rik	RIKEN cDNA 4930513O06 gene
4930516K23Rik	RIKEN cDNA 4930516K23 gene
4930519G04Rik	RIKEN cDNA 4930519G04 gene
4930521O11Rik	RIKEN cDNA 4930521O11 gene
4930522H14Rik	RIKEN cDNA 4930522H14 gene
4930522L14Rik	RIKEN cDNA 4930522L14 gene
4930524B15Rik	RIKEN cDNA 4930524B15 gene
4930524J08Rik	RIKEN cDNA 4930524J08 gene
4930524N10Rik	RIKEN cDNA 4930524N10 gene
4930535I16Rik	RIKEN cDNA 4930535I16 gene
4930538K18Rik	RIKEN cDNA 4930538K18 gene
4930539E08Rik	RIKEN cDNA 4930539E08 gene
4930544D05Rik	RIKEN cDNA 4930544D05 gene
4930544G11Rik	RIKEN cDNA 4930544G11 gene
4930548H24Rik	RIKEN cDNA 4930548H24 gene
4930549C01Rik	RIKEN cDNA 4930549C01 gene
4930550C14Rik	RIKEN cDNA 4930550C14 gene
4930550L24Rik	RIKEN cDNA 4930550L24 gene
4930553M12Rik	RIKEN cDNA 4930553M12 gene
4930555F03Rik	RIKEN cDNA 4930555F03 gene
4930555G01Rik	RIKEN cDNA 4930555G01 gene
4930556J24Rik	RIKEN cDNA 4930556J24 gene
4930557A04Rik	RIKEN cDNA 4930557A04 gene
4930558K02Rik	RIKEN cDNA 4930558K02 gene
4930562C15Rik	RIKEN cDNA 4930562C15 gene
4930563D23Rik	RIKEN cDNA 4930563D23 gene
4930563I02Rik	RIKEN cDNA 4930563I02 gene
4930563M21Rik	Rfpl3s|RIKEN cDNA 4930563M21 gene
4930564C03Rik	RIKEN cDNA 4930564C03 gene
4930564D02Rik	RIKEN cDNA 4930564D02 gene
4930568D16Rik	RIKEN cDNA 4930568D16 gene
4930571K23Rik	RIKEN cDNA 4930571K23 gene
4930572O03Rik	RIKEN cDNA 4930572O03 gene
4930578C19Rik	RIKEN cDNA 4930578C19 gene
4930578G10Rik	RIKEN cDNA 4930578G10 gene
4930578I06Rik	RIKEN cDNA 4930578I06 gene
4930579F01Rik	RIKEN cDNA 4930579F01 gene
4930579G24Rik	RIKEN cDNA 4930579G24 gene
4930583I09Rik	RIKEN cDNA 4930583I09 gene
4930590J08Rik	LOC381798|RIKEN cDNA 4930590J08 gene
4930595D18Rik	RIKEN cDNA 4930595D18 gene
4930595M18Rik	RIKEN cDNA 4930595M18 gene
4930596D02Rik	RIKEN cDNA 4930596D02 gene
4930597O21Rik	RIKEN cDNA 4930597O21 gene
4931400O07Rik	RIKEN cDNA 4931400O07 gene
4931406B18Rik	RIKEN cDNA 4931406B18 gene
4931406C07Rik	RIKEN cDNA 4931406C07 gene
4931406P16Rik	RIKEN cDNA 4931406P16 gene
4931408C20Rik	RIKEN cDNA 4931408C20 gene
4931409K22Rik	RIKEN cDNA 4931409K22 gene
4931414P19Rik	RIKEN cDNA 4931414P19 gene
4931417E11Rik	RIKEN cDNA 4931417E11 gene
4931422A03Rik	RIKEN cDNA 4931422A03 gene
4931423N10Rik	RIKEN cDNA 4931423N10 gene
4931428F04Rik	RIKEN cDNA 4931428F04 gene
4931428L18Rik	RIKEN cDNA 4931428L18 gene
4931429I11Rik	jhy|RIKEN cDNA 4931429I11 gene
4931429L15Rik	RIKEN cDNA 4931429L15 gene
4931431F19Rik	RIKEN cDNA 4931431F19 gene
4931440F15Rik	RIKEN cDNA 4931440F15 gene
4931440P22Rik	RIKEN cDNA 4931440P22 gene
4932411E22Rik	RIKEN cDNA 4932411E22 gene
4932411N23Rik	RIKEN cDNA 4932411N23 gene
4932414N04Rik	RIKEN cDNA 4932414N04 gene
4932415D10Rik	RIKEN cDNA 4932415D10 gene
4932418E24Rik	RIKEN cDNA 4932418E24 gene
4932429P05Rik	RIKEN cDNA 4932429P05 gene
4932431P20Rik	RIKEN cDNA 4932431P20 gene
4932438A13Rik	Tweek|FSA|RIKEN cDNA 4932438A13 gene
4932438H23Rik	RIKEN cDNA 4932438H23 gene
4932442E05Rik	RIKEN cDNA 4932442E05 gene
4932443I19Rik	RIKEN cDNA 4932443I19 gene
4933400A11Rik	RIKEN cDNA 4933400A11 gene
4933402D24Rik	RIKEN cDNA 4933402D24 gene
4933402E13Rik	RIKEN cDNA 4933402E13 gene
4933402J07Rik	RIKEN cDNA 4933402J07 gene
4933402N03Rik	RIKEN cDNA 4933402N03 gene
4933402N22Rik	RIKEN cDNA 4933402N22 gene
4933402P03Rik	RIKEN cDNA 4933402P03 gene
4933403O08Rik	RIKEN cDNA 4933403O08 gene
4933405L10Rik	RIKEN cDNA 4933405L10 gene
4933405O20Rik	RIKEN cDNA 4933405O20 gene
4933406J08Rik	RIKEN cDNA 4933406J08 gene
4933406M09Rik	RIKEN cDNA 4933406M09 gene
4933407L21Rik	RIKEN cDNA 4933407L21 gene
4933408B17Rik	RIKEN cDNA 4933408B17 gene
4933409G03Rik	RIKEN cDNA 4933409G03 gene
4933411G06Rik	RIKEN cDNA 4933411G06 gene
4933411K16Rik	RIKEN cDNA 4933411K16 gene
4933412E24Rik	RIKEN cDNA 4933412E24 gene
